Data File Name,s616087_FLOW.csv
Location,swanest_csv/
Station Status,Inactive
Lat,-31.948282966
Long,-31.948282966
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,616087
Site Description,616087
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Sampling Rate (min),1440.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Max Discharge (m/s),Decimal
QC,String
Mean Discharge (m/s),Decimal
QC,String
Min Discharge (m/s),Decimal
QC,String
Discharge (ML),Decimal
QC,String
Max Stage Height CTF (m),Decimal
QC,String
Mean Stage Height CTF (m),Decimal
QC,String
Min Stage Height CTF (m),Decimal
QC,String
Max Stage Height (m),Decimal
QC,String
Mean Stage Height (m),Decimal
QC,String
Min Stage Height (m),Decimal
QC,String
