Data File Name,s616086_FLOW.csv
Location,swanest_csv/
Station Status,Active
Lat,-31.900081094
Long,-31.900081094
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,616086
Site Description,616086
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Sampling Rate (min),1462.4332
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Max Discharge (m/s),Decimal
QC,String
Mean Discharge (m/s),Decimal
QC,String
Min Discharge (m/s),Decimal
QC,String
Discharge (ML),Decimal
QC,String
Max Stage Height CTF (m),Decimal
QC,String
Mean Stage Height CTF (m),Decimal
QC,String
Min Stage Height CTF (m),Decimal
QC,String
Max Stage Height (m),Decimal
QC,String
Mean Stage Height (m),Decimal
QC,String
Min Stage Height (m),Decimal
QC,String
