Data File Name,s6167114_WQ.csv
Location,swanest_csv/
Station Status,Active
Lat,-31.894387399
Long,-31.894387399
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6167114
Site Description,6167114
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Sampling Rate (min),1214.4216
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Bottom Depth (m),Decimal
QC,String
Chlorophyll-a (\mug/L),Decimal
QC,String
Chlorophyll-c (\mug/L),Decimal
QC,String
Chlorophyll sample volume ((mL)),Decimal
QC,String
Cloud Cover (%),Decimal
QC,String
Conductivity (\muS/cm),Decimal
QC,String
O2 Saturation (%),Decimal
QC,String
Oxygen (mg/L),Decimal
QC,String
pH (),Decimal
QC,String
Phaeophytin a (mg/L),Decimal
QC,String
Salinity (psu),Decimal
QC,String
Secchi depth (m),Decimal
QC,String
Temperature (^{\circ}C),Decimal
QC,String
Turbidity (NTU),Decimal
QC,String
Wind Direction ((ø)),Decimal
QC,String
Wind Speed (m/s),Decimal
QC,String
